,track_popularity,playlist_genre,playlist_subgenre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,lyrical_subjectivity,lyrical_polarity,repeated_phrases,minutes,word_count,WPM_approx,artist_past_performance,correct
4671,4,0,1,0.435,0.812,-3.711,0.0381,0.541,0.7190000000000001,0.0455,0.508,95.546,168360,0.6937878787878788,0.3001515151515152,0,2.806,30,10.691375623663578,0,False
2132,47,2,3,0.486,0.904,-6.642,0.0364,0.0007480000000000001,0.0984,0.187,0.118,143.048,208450,0.5348484848484848,-0.06934185606060607,0,3.474166666666666,247,71.09618613576397,0,False
6271,59,2,3,0.763,0.713,-8.9,0.0311,0.128,0.0006230000000000001,0.145,0.6679999999999999,132.993,260973,0.3583333333333333,0.09768740031897924,0,4.34955,233,53.568759986665285,0,False
6216,71,1,11,0.757,0.6779999999999999,-5.529,0.233,0.0472,9.14e-06,0.0654,0.82,120.075,218235,0.5555555555555555,0.24409722222222224,3,3.63725,481,132.24276582582993,15,False
5328,61,0,18,0.758,0.49,-7.98,0.032,0.35700000000000004,0.000699,0.0795,0.428,119.969,291580,0.3903846153846153,-0.07115384615384615,1,4.859666666666667,221,45.476370121407506,0,False
2476,15,1,11,0.7040000000000001,0.425,-11.724,0.0286,0.0185,0.000162,0.0837,0.32299999999999995,101.58,198733,0.6115740740740739,0.424537037037037,0,3.3122166666666666,186,56.15574665505982,0,False
4860,82,2,17,0.578,0.866,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.03799999999998,199080,0.11379551820728293,0.014705882352941175,6,3.318,690,207.9566003616636,0,False
6404,50,3,13,0.339,0.273,-9.945,0.0309,0.7290000000000001,0.0,0.152,0.304,96.804,251467,0.4528011204481792,0.3586834733893557,1,4.191116666666667,249,59.41137405703333,0,False
1024,53,0,4,0.8029999999999999,0.984,-3.93,0.0548,0.00027,0.846,0.0434,0.371,127.994,210937,0.0,0.0,14,3.515616666666667,306,87.04020631752606,0,False
509,78,4,8,0.792,0.743,-2.806,0.0851,0.107,0.0,0.183,0.742,150.024,195637,0.6534482758620686,-0.2920977011494251,13,3.2606166666666665,1052,322.6383557302556,0,False
1263,6,4,20,0.885,0.477,-9.196,0.0664,0.000131,0.000664,0.336,0.691,130.078,346840,0.5734567901234567,0.09999999999999998,0,5.780666666666668,402,69.54215200092261,0,False
748,29,1,11,0.8959999999999999,0.815,-5.327000000000001,0.16899999999999998,0.00557,0.00107,0.366,0.7120000000000001,95.954,248933,0.41944444444444456,-0.02805555555555556,0,4.148883333333333,673,162.21232219111167,1,False
2107,57,4,8,0.863,0.815,-6.242000000000001,0.232,0.21600000000000005,0.0,0.0887,0.636,108.972,200800,0.4987076648841355,0.03621933621933621,0,3.3466666666666667,690,206.17529880478088,1,False
5219,72,5,15,0.611,0.846,-5.9,0.0436,0.00509,0.0,0.0784,0.7509999999999999,103.912,162920,0.6785714285714285,0.2285714285714286,0,2.715333333333333,161,59.2929044930027,0,False
3148,1,3,13,0.645,0.622,-8.215,0.0456,0.182,0.753,0.0769,0.377,87.036,268171,0.815357142857143,0.02785714285714287,0,4.469516666666666,200,44.747567783242786,0,False
1728,0,0,18,0.621,0.838,-5.28,0.0342,0.0942,0.076,0.17600000000000002,0.18600000000000005,128.015,243974,0.5088095238095238,0.09214285714285717,0,4.066233333333333,53,13.034175772828254,0,False
3257,57,5,15,0.7140000000000001,0.7090000000000001,-11.067,0.0743,0.101,9.38e-05,0.0786,0.728,108.018,222320,0.4792792792792793,-0.3504504504504504,1,3.705333333333333,150,40.48218783735157,0,False
1042,3,4,6,0.936,0.76,-7.8729999999999976,0.282,0.00391,3.39e-06,0.0394,0.657,128.47899999999998,260867,0.3520959595959595,-0.08613123421717171,0,4.347783333333333,666,153.18150628481183,0,False
